sample_ID,genotype,treatment,rep_number_tank,coral_species,sp,tank
A16_3_MONO,A16,MONO,3,Porites compressa,PCOM,TANK18
A01_4_MONO,A01,MONO,4,Porites compressa,PCOM,TANK20
A02_4_MONO,A02,MONO,4,Porites compressa,PCOM,TANK20
A03_4_MONO,A03,MONO,4,Porites compressa,PCOM,TANK20
A04_4_MONO,A04,MONO,4,Porites compressa,PCOM,TANK20
A05_4_MONO,A05,MONO,4,Porites compressa,PCOM,TANK1
A06_4_MONO,A06,MONO,4,Porites compressa,PCOM,TANK1
A07_4_MONO,A07,MONO,4,Porites compressa,PCOM,TANK1
A08_4_MONO,A08,MONO,4,Porites compressa,PCOM,TANK1
A09_4_MONO,A09,MONO,4,Porites compressa,PCOM,TANK3
A10_4_MONO,A10,MONO,4,Porites compressa,PCOM,TANK3
A11_4_MONO,A11,MONO,4,Porites compressa,PCOM,TANK3
A12_4_MONO,A12,MONO,4,Porites compressa,PCOM,TANK3
A13_4_MONO,A13,MONO,4,Porites compressa,PCOM,TANK18
A14_4_MONO,A14,MONO,4,Porites compressa,PCOM,TANK18
A15_4_MONO,A15,MONO,4,Porites compressa,PCOM,TANK18
A16_4_MONO,A16,MONO,4,Porites compressa,PCOM,TANK18
A01_5_MONO,A01,MONO,5,Porites compressa,PCOM,TANK20
A02_5_MONO,A02,MONO,5,Porites compressa,PCOM,TANK20
A03_5_MONO,A03,MONO,5,Porites compressa,PCOM,TANK20
A04_5_MONO,A04,MONO,5,Porites compressa,PCOM,TANK20
A05_5_MONO,A05,MONO,5,Porites compressa,PCOM,TANK1
A06_5_MONO,A06,MONO,5,Porites compressa,PCOM,TANK1
A07_5_MONO,A07,MONO,5,Porites compressa,PCOM,TANK1
A08_5_MONO,A08,MONO,5,Porites compressa,PCOM,TANK1
A09_5_MONO,A09,MONO,5,Porites compressa,PCOM,TANK3
A10_5_MONO,A10,MONO,5,Porites compressa,PCOM,TANK3
A11_5_MONO,A11,MONO,5,Porites compressa,PCOM,TANK3
A12_5_MONO,A12,MONO,5,Porites compressa,PCOM,TANK3
A13_5_MONO,A13,MONO,5,Porites compressa,PCOM,TANK18
A14_5_MONO,A14,MONO,5,Porites compressa,PCOM,TANK18
A15_5_MONO,A15,MONO,5,Porites compressa,PCOM,TANK18
A16_5_MONO,A16,MONO,5,Porites compressa,PCOM,TANK18
A01_6_MONO,A01,MONO,6,Porites compressa,PCOM,TANK20
A02_6_MONO,A02,MONO,6,Porites compressa,PCOM,TANK20
A03_6_MONO,A03,MONO,6,Porites compressa,PCOM,TANK20
A04_6_MONO,A04,MONO,6,Porites compressa,PCOM,TANK20
A05_6_MONO,A05,MONO,6,Porites compressa,PCOM,TANK1
A06_6_MONO,A06,MONO,6,Porites compressa,PCOM,TANK1
A07_6_MONO,A07,MONO,6,Porites compressa,PCOM,TANK1
A08_6_MONO,A08,MONO,6,Porites compressa,PCOM,TANK1
A09_6_MONO,A09,MONO,6,Porites compressa,PCOM,TANK3
A10_6_MONO,A10,MONO,6,Porites compressa,PCOM,TANK3
A11_6_MONO,A11,MONO,6,Porites compressa,PCOM,TANK3
A12_6_MONO,A12,MONO,6,Porites compressa,PCOM,TANK3
A13_6_MONO,A13,MONO,6,Porites compressa,PCOM,TANK18
A14_6_MONO,A14,MONO,6,Porites compressa,PCOM,TANK18
A15_6_MONO,A15,MONO,6,Porites compressa,PCOM,TANK18
A16_6_MONO,A16,MONO,6,Porites compressa,PCOM,TANK18
B01_1_MONO,B01,MONO,1,Montipora capitata,MCAP,TANK10
B02_1_MONO,B02,MONO,1,Montipora capitata,MCAP,TANK10
B03_1_MONO,B03,MONO,1,Montipora capitata,MCAP,TANK10
B04_1_MONO,B04,MONO,1,Montipora capitata,MCAP,TANK10
B05_1_MONO,B05,MONO,1,Montipora capitata,MCAP,TANK21
B06_1_MONO,B06,MONO,1,Montipora capitata,MCAP,TANK21
B07_1_MONO,B07,MONO,1,Montipora capitata,MCAP,TANK21
B08_1_MONO,B08,MONO,1,Montipora capitata,MCAP,TANK21
B09_1_MONO,B09,MONO,1,Montipora capitata,MCAP,TANK6
B10_1_MONO,B10,MONO,1,Montipora capitata,MCAP,TANK6
B11_1_MONO,B11,MONO,1,Montipora capitata,MCAP,TANK6
B12_1_MONO,B12,MONO,1,Montipora capitata,MCAP,TANK6
B13_1_MONO,B13,MONO,1,Montipora capitata,MCAP,TANK11
B14_1_MONO,B14,MONO,1,Montipora capitata,MCAP,TANK11
B15_1_MONO,B15,MONO,1,Montipora capitata,MCAP,TANK11
B16_1_MONO,B16,MONO,1,Montipora capitata,MCAP,TANK11
B01_2_MONO,B01,MONO,2,Montipora capitata,MCAP,TANK10
B02_2_MONO,B02,MONO,2,Montipora capitata,MCAP,TANK10
B03_2_MONO,B03,MONO,2,Montipora capitata,MCAP,TANK10
B04_2_MONO,B04,MONO,2,Montipora capitata,MCAP,TANK10
B05_2_MONO,B05,MONO,2,Montipora capitata,MCAP,TANK21
B06_2_MONO,B06,MONO,2,Montipora capitata,MCAP,TANK21
B07_2_MONO,B07,MONO,2,Montipora capitata,MCAP,TANK21
B08_2_MONO,B08,MONO,2,Montipora capitata,MCAP,TANK21
B09_2_MONO,B09,MONO,2,Montipora capitata,MCAP,TANK6
B10_2_MONO,B10,MONO,2,Montipora capitata,MCAP,TANK6
B11_2_MONO,B11,MONO,2,Montipora capitata,MCAP,TANK6
B12_2_MONO,B12,MONO,2,Montipora capitata,MCAP,TANK6
B13_2_MONO,B13,MONO,2,Montipora capitata,MCAP,TANK11
B14_2_MONO,B14,MONO,2,Montipora capitata,MCAP,TANK11
B15_2_MONO,B15,MONO,2,Montipora capitata,MCAP,TANK11
B16_2_MONO,B16,MONO,2,Montipora capitata,MCAP,TANK11
B01_3_MONO,B01,MONO,3,Montipora capitata,MCAP,TANK10
B02_3_MONO,B02,MONO,3,Montipora capitata,MCAP,TANK10
B03_3_MONO,B03,MONO,3,Montipora capitata,MCAP,TANK10
B04_3_MONO,B04,MONO,3,Montipora capitata,MCAP,TANK10
B05_3_MONO,B05,MONO,3,Montipora capitata,MCAP,TANK21
B06_3_MONO,B06,MONO,3,Montipora capitata,MCAP,TANK21
B07_3_MONO,B07,MONO,3,Montipora capitata,MCAP,TANK21
B08_3_MONO,B08,MONO,3,Montipora capitata,MCAP,TANK21
B09_3_MONO,B09,MONO,3,Montipora capitata,MCAP,TANK6
B10_3_MONO,B10,MONO,3,Montipora capitata,MCAP,TANK6
B11_3_MONO,B11,MONO,3,Montipora capitata,MCAP,TANK6
B12_3_MONO,B12,MONO,3,Montipora capitata,MCAP,TANK6
B13_3_MONO,B13,MONO,3,Montipora capitata,MCAP,TANK11
B14_3_MONO,B14,MONO,3,Montipora capitata,MCAP,TANK11
B15_3_MONO,B15,MONO,3,Montipora capitata,MCAP,TANK11
B16_3_MONO,B16,MONO,3,Montipora capitata,MCAP,TANK11
B01_4_MONO,B01,MONO,4,Montipora capitata,MCAP,TANK10
B02_4_MONO,B02,MONO,4,Montipora capitata,MCAP,TANK10
B03_4_MONO,B03,MONO,4,Montipora capitata,MCAP,TANK10
B04_4_MONO,B04,MONO,4,Montipora capitata,MCAP,TANK10
B05_4_MONO,B05,MONO,4,Montipora capitata,MCAP,TANK21
B06_4_MONO,B06,MONO,4,Montipora capitata,MCAP,TANK21
B07_4_MONO,B07,MONO,4,Montipora capitata,MCAP,TANK21
B08_4_MONO,B08,MONO,4,Montipora capitata,MCAP,TANK21
B09_4_MONO,B09,MONO,4,Montipora capitata,MCAP,TANK6
B10_4_MONO,B10,MONO,4,Montipora capitata,MCAP,TANK6
B11_4_MONO,B11,MONO,4,Montipora capitata,MCAP,TANK6
B12_4_MONO,B12,MONO,4,Montipora capitata,MCAP,TANK6
B13_4_MONO,B13,MONO,4,Montipora capitata,MCAP,TANK11
B14_4_MONO,B14,MONO,4,Montipora capitata,MCAP,TANK11
B15_4_MONO,B15,MONO,4,Montipora capitata,MCAP,TANK11
B16_4_MONO,B16,MONO,4,Montipora capitata,MCAP,TANK11
B01_5_MONO,B01,MONO,5,Montipora capitata,MCAP,TANK10
B02_5_MONO,B02,MONO,5,Montipora capitata,MCAP,TANK10
B03_5_MONO,B03,MONO,5,Montipora capitata,MCAP,TANK10
B04_5_MONO,B04,MONO,5,Montipora capitata,MCAP,TANK10
B05_5_MONO,B05,MONO,5,Montipora capitata,MCAP,TANK21
B06_5_MONO,B06,MONO,5,Montipora capitata,MCAP,TANK21
B07_5_MONO,B07,MONO,5,Montipora capitata,MCAP,TANK21
B08_5_MONO,B08,MONO,5,Montipora capitata,MCAP,TANK21
B09_5_MONO,B09,MONO,5,Montipora capitata,MCAP,TANK6
B10_5_MONO,B10,MONO,5,Montipora capitata,MCAP,TANK6
B11_5_MONO,B11,MONO,5,Montipora capitata,MCAP,TANK6
B12_5_MONO,B12,MONO,5,Montipora capitata,MCAP,TANK6
B13_5_MONO,B13,MONO,5,Montipora capitata,MCAP,TANK11
B14_5_MONO,B14,MONO,5,Montipora capitata,MCAP,TANK11
B15_5_MONO,B15,MONO,5,Montipora capitata,MCAP,TANK11
B16_5_MONO,B16,MONO,5,Montipora capitata,MCAP,TANK11
B01_6_MONO,B01,MONO,6,Montipora capitata,MCAP,TANK10
B02_6_MONO,B02,MONO,6,Montipora capitata,MCAP,TANK10
B03_6_MONO,B03,MONO,6,Montipora capitata,MCAP,TANK10
B04_6_MONO,B04,MONO,6,Montipora capitata,MCAP,TANK10
B05_6_MONO,B05,MONO,6,Montipora capitata,MCAP,TANK21
B06_6_MONO,B06,MONO,6,Montipora capitata,MCAP,TANK21
B07_6_MONO,B07,MONO,6,Montipora capitata,MCAP,TANK21
B08_6_MONO,B08,MONO,6,Montipora capitata,MCAP,TANK21
B09_6_MONO,B09,MONO,6,Montipora capitata,MCAP,TANK6
B10_6_MONO,B10,MONO,6,Montipora capitata,MCAP,TANK6
B11_6_MONO,B11,MONO,6,Montipora capitata,MCAP,TANK6
B12_6_MONO,B12,MONO,6,Montipora capitata,MCAP,TANK6
B13_6_MONO,B13,MONO,6,Montipora capitata,MCAP,TANK11
B14_6_MONO,B14,MONO,6,Montipora capitata,MCAP,TANK11
B15_6_MONO,B15,MONO,6,Montipora capitata,MCAP,TANK11
B16_6_MONO,B16,MONO,6,Montipora capitata,MCAP,TANK11
