"X","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240","UniqueID"
397.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00291264382515956,0.00341728263879904,0.00515065777255224,0.00681819840971025,0.00880885125789335,0.0102039701710845,0.0130094926131434,0.0170207826497701,0.0170458030250515,0.0183381712397595,0.0192484377705514,0.0207176485269333,0.0217750319149929,0.0220123215082098,0.022250117793893,0.021867107649072,0.0213669731178225,0.0225026949732653,0.0238065872800382,0.0236434519109388,0.0242550772546215,0.0260103626657213,0.029037595976245,0.0300733288315407,0.0334887118360237,0.0414038583906661,0.0416942020636221,0.0348425771244119,0.0789185140810998,"BIOFAC_1"
402.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00231345908093753,0.00337571696523995,0.00487761214575638,0.00628964148987135,0.00820197466798215,0.00953769266154069,0.0117185472245162,0.0155469749457783,0.0159893956822007,0.0177729550862466,0.0186940495349011,0.0199894668779616,0.0210357925892792,0.021997312441074,0.0220882627286459,0.0214801477122295,0.0220438319257029,0.0221232603791045,0.0219747324803218,0.0222976305022855,0.0235787815167599,0.0255827306658568,0.0270171899003859,0.0273380171853266,0.0307774794892813,0.0337878313761625,0.0413160883501319,0.0393171219523924,0.0529047938399474,0.0421440436240953,"BIOFAC_1"
407.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00225609100246434,0.00315373910851425,0.00440156871696806,0.00556701362670677,0.00743613317575765,0.00920867383575513,0.0113181514844803,0.0159090227889578,0.0168118587449879,0.0173863269209333,0.0186160788488266,0.0196343732546785,0.0210006634003611,0.0215697654936923,0.0218730425108136,0.0224081623381554,0.0220256669355691,0.021762779190645,0.0216690209521032,0.021457703961638,0.0229516324079392,0.023532277813385,0.0240109305810887,0.0279496832281429,0.0279140156733224,0.0304520710989456,0.0358737932613258,0.0385439411471238,0.0397835829693241,0.0441015162717083,0.0470556895309607,"BIOFAC_1"
411.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00206332073790274,0.00261386970547489,0.00359772964513783,0.00475076902691865,0.00669106713784406,0.00769000935363838,0.0102442386055009,0.0136162408776562,0.0158272290710974,0.0161544441508837,0.0179826961738436,0.0201532783396395,0.0198336754907501,0.0209609746350221,0.0222544793013491,0.0222244831235648,0.0225401871186314,0.0227367256021657,0.0221097309302087,0.021424364523737,0.0210994701641327,0.0225583162324796,0.0240145630243275,0.0255662079393981,0.026550399300849,0.0285221380055749,0.0310960293037136,0.0339407673136902,0.0369349038556047,0.0392796946565316,0.0525150586069577,0.0242844371159308,"BIOFAC_1"
416.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00130991452285475,0.00209432268606883,0.00325645019850751,0.00451696221883347,0.00606251180605916,0.0079476363701246,0.00921103048375862,0.0118244145753469,0.0151431237092848,0.0154402925687963,0.0166609298676247,0.0186319143788442,0.0197583835913047,0.0211668686155655,0.021001283361638,0.0213359257076317,0.0219988465320638,0.022003213946974,0.0215809190753528,0.021203722248386,0.0210209579667241,0.0209003695558826,0.0223529494596716,0.02270707916479,0.0231926210576948,0.0254448830018855,0.0282719599322735,0.0307153929138049,0.0339996733939824,0.0389634573894597,0.0358428153332522,0.0348485135043415,0.013302243107674,"BIOFAC_1"
420.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00154289764512431,0.00132548700274341,0.00281235370345688,0.00382219974844309,0.00494984515422495,0.00701368831691191,0.00834801401924515,0.00991123649279887,0.014408919146827,0.0160282985861526,0.0160719450411328,0.0171762877434402,0.0178618115126905,0.0199744676380544,0.0208700380137815,0.0212048306873802,0.0219236772649959,0.0215939394922544,0.0214863047823845,0.0212602550184126,0.0215710466321787,0.0212946074492797,0.021608209654101,0.0232905924788585,0.0234215379094892,0.0251698302778041,0.0270403022759497,0.0301524876118376,0.0333041977735403,0.0355441644086521,0.0371321825696293,0.0405192137974682,0.035167718595622,0.0334126006719319,"BIOFAC_1"
425.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00153340972699567,0.00192698435803341,0.00301805172236402,0.00387782643044403,0.0047228936943199,0.00603524493035384,0.00776900139850312,0.0101214138678958,0.0124834595019693,0.0148544399977877,0.0161997938893242,0.0175418049019231,0.0188515584885277,0.0199966101196744,0.0201269411623236,0.0212806795647546,0.0218932330950358,0.0216215827268784,0.0219710675722445,0.0214879488598551,0.0208253177729751,0.0208501417283269,0.021522116707016,0.0206699961798798,0.0221675175010116,0.0228573940027967,0.0257214655621066,0.0286011488586387,0.0328483366868,0.0341010402721895,0.0358803751642405,0.042024590240339,0.039899247566356,0.0418831665158346,0.0469415928468297,"BIOFAC_1"
430.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00168257622682683,0.00211571990217362,0.00291340573881723,0.00446500252937883,0.00494668526165457,0.00667081526501453,0.00829293799560072,0.00935748151915487,0.0116700873834927,0.0150765698227249,0.0159147605459435,0.0171791474925949,0.0185241598778797,0.0199488315072017,0.0210580008766229,0.0215021712347361,0.0221374695419458,0.0215753903171185,0.0218428267111496,0.0224401826227403,0.0214490100238042,0.0219577882172506,0.0220366437696746,0.0221219080852221,0.0222024023507786,0.0232094680373156,0.0253890875986386,0.0260257021456671,0.0306846954897413,0.0313795299723718,0.0376043399390209,0.0449180311869982,0.0467494469228651,0.051667552060926,0.0487071011069815,0.0639993244098933,"BIOFAC_1"
434.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00198489059303206,0.00193523805491746,0.00333975045670508,0.00362997824606758,0.00476284666148899,0.00657820888544102,0.00727672138519563,0.00861578284383961,0.0111662891597877,0.014988275750017,0.0149665752471384,0.0171340320391494,0.0185238822601947,0.0192304509624786,0.0194979898762931,0.0210391678078361,0.0220095635937892,0.0222144622130522,0.022511892023266,0.0217902182849446,0.0223393737624332,0.0220435428189316,0.0216182361753747,0.0222869283252829,0.0223060107515617,0.0228058711270594,0.0241342467044319,0.0254655343223049,0.0280694426978552,0.0309112979650689,0.0355709637203568,0.039377118982962,0.0430463427045742,0.0522404147873267,0.0508716512062351,0.0567492599083056,0.0595449239393817,"BIOFAC_1"
439.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00176046307829632,0.00237067122246033,0.00254126961205339,0.00438847441840174,0.00532627809486804,0.00647797406458875,0.00847225960136641,0.0086604717962615,0.0130982975012694,0.0140044212372798,0.0148281939790368,0.0172640139289337,0.0185744404105699,0.0201294545742016,0.0200711293318063,0.0208027409720861,0.0210120397069594,0.0212474652669127,0.0212200581165312,0.0211258421892428,0.0210819466603882,0.0217205129834761,0.0211016872326349,0.0207162012425855,0.0212507814568006,0.0222534667764618,0.02319804678701,0.0262787154360037,0.0273406968963107,0.0303169139663511,0.033753246217711,0.0360636725324316,0.0407056430181377,0.04563717593873,0.0482895627179619,0.0504779048199871,0.0444865797065925,"BIOFAC_1"
