date,species,sample_ID,frag_ID,light_dark,run_block,SA_cm2,umol.cm2.hr,chamber_channel,Temp.C,umol.cm2.hr_uncorr,Light_level,Light_value
2026-03-04,PCOM,A08_BF_PI,A08,LIGHT,RUN1,15,0.34094847336366224,6,23.94121052631579,0.3589501090909094,5,398
2026-03-04,PCOM,A02_BF_PI,A02,LIGHT,RUN1,20,0.6600208212565069,7,24.048,0.6735220480519422,5,398
2026-03-04,MCAP,B03_BF_PI,B03,LIGHT,RUN1,20,1.4503395973803899,8,24.06394736842105,1.4638408241758252,5,398
2026-03-04,MCAP,B16_BF_PI,B16,LIGHT,RUN1,15,0.9019345181189075,9,23.988236842105263,0.9199361538461546,5,398
2026-03-04,PCOM,A03_BF_PI,A03,LIGHT,RUN1,10,0.33813215232045707,11,24.096763157894735,0.36513460591132774,5,398
2026-03-04,MCAP,B05_BF_PI,B05,LIGHT,RUN1,15,1.8036630224008399,12,24.015052631578943,1.8216646581280869,5,398
2026-03-04,MCAP,B15_BF_PI,B15,LIGHT,RUN1,18,1.2008046061528068,1,24.06023684210526,1.1939391133004948,6,503
2026-03-04,PCOM,A13_BF_PI,A13,LIGHT,RUN1,13,0.4371815446937713,2,23.932026315789475,0.42767547766749303,6,503
2026-03-04,PCOM,A15_BF_PI,A15,LIGHT,RUN1,15,0.6176002989326757,4,23.982894736842105,0.6093617075099012,6,503
2026-03-04,MCAP,B04_BF_PI,B04,LIGHT,RUN1,18,1.1446251236215326,5,23.92415789473684,1.1377596307692204,6,503
2026-03-04,PCOM,A08_BF_PI,A08,LIGHT,RUN1,15,0.3189385181090018,6,23.963,0.3106999266862273,6,503
2026-03-04,PCOM,A02_BF_PI,A02,LIGHT,RUN1,20,0.7383153991006806,7,24.052552631578948,0.7321364555335996,6,503
2026-03-04,MCAP,B03_BF_PI,B03,LIGHT,RUN1,20,1.4880927136205566,8,24.073052631578943,1.4819137700534757,6,503
2026-03-04,MCAP,B16_BF_PI,B16,LIGHT,RUN1,15,0.8805638878654795,9,23.97605263157895,0.872325296442705,6,503
2026-03-04,PCOM,A03_BF_PI,A03,LIGHT,RUN1,10,0.3174543298219279,11,24.072552631578947,0.3050964426877662,6,503
2026-03-04,MCAP,B05_BF_PI,B05,LIGHT,RUN1,15,1.801895726946071,12,23.981394736842105,1.7936571355232964,6,503
2026-03-04,MCAP,B15_BF_PI,B15,LIGHT,RUN1,18,1.1909888670312745,1,24.186236842105263,1.1812179665379734,7,613
2026-03-04,PCOM,A13_BF_PI,A13,LIGHT,RUN1,13,0.4030025438782897,2,24.05721052631579,0.38947360473371906,7,613
2026-03-04,PCOM,A15_BF_PI,A15,LIGHT,RUN1,15,0.5883646621304097,4,24.11528947368421,0.5766395815384485,7,613
2026-03-04,MCAP,B04_BF_PI,B04,LIGHT,RUN1,18,1.1677672863296873,5,24.051394736842106,1.1579963858363862,7,613
2026-03-04,PCOM,A08_BF_PI,A08,LIGHT,RUN1,15,0.32725319672099434,6,24.100210526315788,0.3155281161290331,7,613
2026-03-04,PCOM,A02_BF_PI,A02,LIGHT,RUN1,20,0.8093812597946115,7,24.18523684210526,0.8005874493506407,7,613
2026-03-04,MCAP,B03_BF_PI,B03,LIGHT,RUN1,20,1.4565487554989158,8,24.214868421052632,1.4477549450549447,7,613
2026-03-04,MCAP,B16_BF_PI,B16,LIGHT,RUN1,15,0.8826310094457088,9,24.09878947368421,0.8709059288537476,7,613
