sample_ID,NOTES,genotype,treatment,rep_number_tank,coral_species,sp,tank,Timepoint,DNA
C17_1_3SP,RELABLE,C13,3SP,1,Pocillopora meandrina,PMEA,TANK19,T1,
C18_1_3SP,RELABLE,C14,3SP,1,Pocillopora meandrina,PMEA,TANK19,T1,
C19_1_3SP,RELABLE,C15,3SP,1,Pocillopora meandrina,PMEA,TANK19,T1,
C20_1_3SP,RELABLE,C16,3SP,1,Pocillopora meandrina,PMEA,TANK19,T1,
A01_1_MONO,,A01,MONO,1,Porites compressa,PCOM,TANK20,T1,
A02_1_MONO,,A02,MONO,1,Porites compressa,PCOM,TANK20,T1,
A03_1_MONO,,A03,MONO,1,Porites compressa,PCOM,TANK20,T1,
A04_1_MONO,,A04,MONO,1,Porites compressa,PCOM,TANK20,T1,
B05_1_MONO,,B05,MONO,1,Montipora capitata,MCAP,TANK21,T1,
B06_1_MONO,,B06,MONO,1,Montipora capitata,MCAP,TANK21,T1,
B07_1_MONO,,B07,MONO,1,Montipora capitata,MCAP,TANK21,T1,
B08_1_MONO,,B08,MONO,1,Montipora capitata,MCAP,TANK21,T1,
A21_1_FAKE,RELABLE,A09,FAKE,1,Porites compressa,PCOM,TANK22,T1,A09_1_FAKE TUBE
A22_1_FAKE,RELABLE,A10,FAKE,1,Porites compressa,PCOM,TANK22,T1,A10_1_FAKE TUBE
A23_1_FAKE,RELABLE,A11,FAKE,1,Porites compressa,PCOM,TANK22,T1,A11_1_FAKE TUBE
A24_1_FAKE,RELABLE,A12,FAKE,1,Porites compressa,PCOM,TANK22,T1,A12_1_FAKE TUBE
A05_1_3SP,,A05,3SP,1,Porites compressa,PCOM,TANK23,T1,
A06_1_3SP,,A06,3SP,1,Porites compressa,PCOM,TANK23,T1,
A07_1_3SP,,A07,3SP,1,Porites compressa,PCOM,TANK23,T1,
A08_1_3SP,,A08,3SP,1,Porites compressa,PCOM,TANK23,T1,
B05_1_3SP,,B05,3SP,1,Montipora capitata,MCAP,TANK23,T1,
B06_1_3SP,,B06,3SP,1,Montipora capitata,MCAP,TANK23,T1,
B07_1_3SP,,B07,3SP,1,Montipora capitata,MCAP,TANK23,T1,
B08_1_3SP,,B08,3SP,1,Montipora capitata,MCAP,TANK23,T1,
C05_1_3SP,,C05,3SP,1,Pocillopora meandrina,PMEA,TANK23,T1,
C06_1_3SP,,C06,3SP,1,Pocillopora meandrina,PMEA,TANK23,T1,
C07_1_3SP,,C07,3SP,1,Pocillopora meandrina,PMEA,TANK23,T1,
C08_1_3SP,,C08,3SP,1,Pocillopora meandrina,PMEA,TANK23,T1,
A09_1_6SP,,A09,6SP,1,Porites compressa,PCOM,TANK24,T1,
A10_1_6SP,,A10,6SP,1,Porites compressa,PCOM,TANK24,T1,
